title,company,seniority_level,max_salary,company_size,work_type,company_rating,applies
Operations Manager,Microsoft,Mid,98359,1001-5000,Hybrid,3.9,50
Data Scientist,Startup A,Entry,92819,1001-5000,On-site,4.2,14
DevOps Engineer,Apple,Senior,165717,1001-5000,Hybrid,2.9,266
Marketing Manager,Google,Mid,99113,51-200,Hybrid,3.8,22
Business Analyst,Salesforce,Senior,135930,51-200,On-site,3.9,8
DevOps Engineer,Uber,Senior,176067,1-50,Hybrid,3.3,50
DevOps Engineer,Enterprise Corp,Mid,124889,1001-5000,Hybrid,3.7,12
Data Scientist,Startup A,Director,219796,1001-5000,On-site,2.8,24
Machine Learning Engineer,Amazon,Mid,130585,1-50,Remote,3.6,5
UX Designer,Meta,Director,238320,51-200,Remote,4.0,53
Frontend Developer,Oracle,Lead,164442,5001+,On-site,4.0,1
Business Analyst,Oracle,Entry,60695,201-1000,Remote,3.9,53
Data Scientist,Airbnb,Entry,77748,51-200,On-site,4.0,23
Software Engineer,Oracle,Mid,135490,1001-5000,Hybrid,3.8,203
Frontend Developer,Enterprise Corp,Mid,94310,51-200,Hybrid,3.2,149
DevOps Engineer,Oracle,VP,299171,1001-5000,On-site,4.7,42
Marketing Manager,Apple,Senior,125616,5001+,Remote,3.0,29
HR Manager,IBM,Senior,115287,1001-5000,Remote,4.7,139
Sales Representative,Uber,Mid,80068,201-1000,Hybrid,4.7,76
Product Manager,IBM,Mid,133570,1001-5000,Hybrid,2.3,3
Financial Analyst,Apple,Lead,154667,5001+,Remote,4.1,5
Data Scientist,Enterprise Corp,Mid,132183,5001+,Hybrid,3.5,825
Backend Developer,Uber,Mid,109650,201-1000,On-site,4.0,10
Financial Analyst,Microsoft,Mid,84614,201-1000,On-site,4.4,16
UX Designer,Apple,Entry,63608,201-1000,Remote,4.0,19
Operations Manager,Salesforce,Director,201605,5001+,On-site,3.3,71
Sales Representative,Airbnb,Mid,78522,1-50,Hybrid,3.3,26
Operations Manager,Oracle,Entry,65305,51-200,Remote,3.1,25
Data Scientist,Intel,Lead,212546,5001+,Hybrid,3.6,92
Marketing Manager,Microsoft,Mid,101168,201-1000,Remote,5.0,66
Frontend Developer,Microsoft,Mid,102154,51-200,On-site,3.6,30
DevOps Engineer,Startup B,Mid,101153,1-50,On-site,4.2,48
Sales Representative,Apple,Entry,55226,1001-5000,Hybrid,3.3,2
Backend Developer,IBM,Lead,187515,51-200,Remote,3.4,87
Sales Representative,Uber,Lead,102005,1001-5000,On-site,3.5,23
Backend Developer,Intel,Director,246817,5001+,On-site,4.1,24
Business Analyst,Google,Entry,57001,201-1000,Remote,4.1,1
Backend Developer,Meta,Mid,117760,51-200,Remote,3.0,17
Business Analyst,Mid-size Corp,Mid,93663,201-1000,Remote,3.8,480
Operations Manager,Microsoft,Lead,159690,1-50,Hybrid,5.0,77
Frontend Developer,Amazon,Entry,67795,51-200,Hybrid,3.7,154
Machine Learning Engineer,Startup B,Entry,99969,201-1000,Remote,4.6,53
Product Manager,Uber,Senior,172261,201-1000,Remote,2.5,2063
HR Manager,Startup B,Lead,141922,1001-5000,Hybrid,2.8,50
Backend Developer,Microsoft,Senior,165880,5001+,On-site,4.0,481
Data Scientist,Startup B,Senior,191398,201-1000,On-site,3.7,11
Product Manager,Oracle,Entry,96109,1001-5000,Remote,3.6,62
Machine Learning Engineer,Amazon,Entry,94696,201-1000,Hybrid,3.7,93
UX Designer,Microsoft,Senior,147842,51-200,Hybrid,4.2,132
UX Designer,IBM,Mid,101336,51-200,Remote,3.7,22
DevOps Engineer,Microsoft,Lead,167198,5001+,Remote,2.9,1
Product Manager,Uber,Entry,80916,51-200,On-site,4.3,31
Machine Learning Engineer,Airbnb,Mid,124359,201-1000,Remote,4.2,103
UX Designer,Mid-size Corp,Senior,150601,1001-5000,Hybrid,3.9,69
Business Analyst,Intel,Lead,145232,1001-5000,Remote,3.8,3
Data Scientist,Salesforce,VP,394085,51-200,Hybrid,4.3,3
Sales Representative,Netflix,Lead,126398,1001-5000,Hybrid,4.0,48
Marketing Manager,Netflix,Mid,95934,201-1000,Hybrid,4.6,12
Business Analyst,Oracle,VP,279699,1001-5000,On-site,3.7,95
Operations Manager,Startup A,Lead,145946,1-50,On-site,3.9,32
Financial Analyst,Meta,Mid,97381,51-200,On-site,4.4,1
Sales Representative,Meta,Entry,42025,51-200,Hybrid,4.1,816
Marketing Manager,Enterprise Corp,VP,249111,201-1000,Remote,3.3,16
Operations Manager,Enterprise Corp,Senior,133494,51-200,Remote,3.3,204
UX Designer,Startup A,Lead,182802,1001-5000,Remote,2.7,17
HR Manager,Enterprise Corp,Mid,84294,201-1000,On-site,3.5,14
HR Manager,Apple,Lead,116162,51-200,Remote,4.3,10
Operations Manager,Amazon,Mid,78907,51-200,Hybrid,4.2,75
HR Manager,Meta,Entry,48667,1-50,On-site,2.9,3
HR Manager,Startup B,Entry,59667,1-50,Hybrid,3.1,19
Data Scientist,Intel,Entry,74546,201-1000,Hybrid,4.6,17
Sales Representative,Uber,Mid,74277,1001-5000,Hybrid,4.7,51
Machine Learning Engineer,Mid-size Corp,Mid,139322,201-1000,Hybrid,4.0,35
Operations Manager,Salesforce,Mid,78757,5001+,Hybrid,3.6,12
Marketing Manager,Mid-size Corp,Mid,97930,201-1000,On-site,4.1,9
UX Designer,Enterprise Corp,Director,218457,51-200,Hybrid,3.5,23
Frontend Developer,Startup B,Mid,95106,51-200,On-site,1.7,69
Software Engineer,Airbnb,Mid,109816,201-1000,Remote,4.0,99
Backend Developer,Enterprise Corp,Lead,172448,51-200,Hybrid,4.5,85
DevOps Engineer,Enterprise Corp,Mid,127654,1001-5000,Remote,4.3,156
Operations Manager,Meta,Mid,88287,201-1000,Remote,4.7,23
Financial Analyst,Netflix,Entry,52102,201-1000,Hybrid,4.1,101
UX Designer,Enterprise Corp,Director,188450,201-1000,Remote,4.5,19
UX Designer,Google,Senior,141304,51-200,On-site,4.7,10000
Machine Learning Engineer,Microsoft,Senior,198251,51-200,On-site,4.3,38
Product Manager,Uber,Mid,130700,201-1000,Hybrid,5.0,19
Machine Learning Engineer,Netflix,Lead,245631,1-50,Remote,3.6,101
HR Manager,Meta,Lead,137179,51-200,Hybrid,4.0,483
Product Manager,Amazon,Mid,134575,1001-5000,Hybrid,4.0,5
UX Designer,Meta,Mid,91532,201-1000,On-site,3.7,16
Financial Analyst,Amazon,Mid,77867,201-1000,Remote,4.2,17
Backend Developer,Oracle,Mid,132024,5001+,Hybrid,4.8,181
Machine Learning Engineer,Amazon,Mid,130434,51-200,Remote,3.9,28
Business Analyst,Uber,Director,179364,5001+,On-site,3.3,5740
Frontend Developer,Startup A,Senior,133298,5001+,On-site,4.6,20
Sales Representative,Apple,Entry,46342,201-1000,Remote,5.0,2
Frontend Developer,Oracle,Senior,131602,1-50,Remote,3.5,1108
Product Manager,Startup B,Senior,194119,51-200,Hybrid,4.2,106
Software Engineer,Startup B,Senior,183347,1001-5000,Hybrid,2.9,43
Operations Manager,Airbnb,Entry,59848,51-200,Remote,2.6,455
Business Analyst,Airbnb,Senior,137490,201-1000,Remote,3.9,38
Business Analyst,Startup B,Senior,106702,201-1000,Remote,2.9,17
Financial Analyst,Mid-size Corp,Mid,91056,51-200,Hybrid,4.0,12
Software Engineer,Airbnb,Entry,85698,1001-5000,On-site,2.5,1
Frontend Developer,Microsoft,Lead,199911,51-200,On-site,4.2,1
Data Scientist,Oracle,Senior,164611,201-1000,Remote,3.1,454
Frontend Developer,Enterprise Corp,Lead,184397,1-50,Hybrid,3.6,9
HR Manager,IBM,Lead,116529,5001+,On-site,2.9,4
Software Engineer,Amazon,Mid,135540,201-1000,Remote,3.8,572
UX Designer,Google,Lead,187722,5001+,Hybrid,3.2,45
Data Scientist,Startup B,Senior,158414,201-1000,Remote,2.4,86
Software Engineer,Netflix,Mid,134803,51-200,Hybrid,4.8,1
Machine Learning Engineer,Airbnb,Mid,146531,1001-5000,Hybrid,3.9,19
Financial Analyst,Startup B,Director,166613,1001-5000,Hybrid,5.0,1237
Frontend Developer,Google,Senior,146185,51-200,On-site,3.8,38
DevOps Engineer,Meta,Mid,134588,201-1000,Remote,5.0,372
HR Manager,Mid-size Corp,Lead,114943,1001-5000,Remote,3.2,34
Financial Analyst,Uber,Entry,48206,51-200,On-site,5.0,93
Financial Analyst,Startup B,Mid,81796,1001-5000,On-site,4.0,117
Data Scientist,IBM,Mid,143327,201-1000,Hybrid,4.6,23
HR Manager,Uber,Senior,118451,5001+,Remote,3.2,742
Backend Developer,Salesforce,Senior,173980,201-1000,On-site,3.0,363
UX Designer,Microsoft,Senior,125909,201-1000,Hybrid,3.6,23
Backend Developer,Enterprise Corp,Senior,158394,1001-5000,On-site,3.7,7
Marketing Manager,Startup B,Mid,100276,1001-5000,Remote,4.4,49
UX Designer,Mid-size Corp,Mid,92750,201-1000,Hybrid,2.8,54
Product Manager,Mid-size Corp,Mid,139500,1001-5000,On-site,3.2,14
Frontend Developer,Mid-size Corp,Director,238471,1-50,On-site,3.2,31
Backend Developer,Enterprise Corp,Entry,76580,201-1000,On-site,3.3,156
Backend Developer,Oracle,Entry,79409,5001+,On-site,3.8,32
Operations Manager,Meta,Entry,57102,201-1000,Remote,1.8,18
Financial Analyst,Microsoft,Entry,52891,201-1000,Hybrid,4.6,237
HR Manager,Startup B,Mid,86793,51-200,Remote,4.5,120
Backend Developer,Amazon,Director,198691,51-200,Hybrid,4.0,3293
Financial Analyst,Intel,Director,157137,51-200,Hybrid,3.2,31
Financial Analyst,Enterprise Corp,Mid,86263,201-1000,On-site,4.8,23
Sales Representative,Microsoft,Director,150943,201-1000,On-site,4.2,1004
Business Analyst,Startup B,Lead,129304,51-200,Remote,4.1,1
Sales Representative,Netflix,Mid,69311,201-1000,Hybrid,1.8,25
DevOps Engineer,Oracle,Lead,212162,1-50,Remote,5.0,42
Sales Representative,Startup B,Entry,46536,5001+,Hybrid,3.6,1
Business Analyst,Startup B,VP,256613,5001+,Hybrid,4.3,80
Software Engineer,Meta,Mid,126684,51-200,Remote,2.3,437
Sales Representative,Apple,Entry,49518,1001-5000,Remote,3.5,214
Machine Learning Engineer,Startup A,Senior,202303,201-1000,On-site,4.0,22
Operations Manager,Apple,Director,206315,1001-5000,Hybrid,3.9,236
DevOps Engineer,Startup B,Entry,79861,201-1000,On-site,2.8,20
Financial Analyst,Startup A,Entry,63225,201-1000,Hybrid,4.0,1
UX Designer,Airbnb,Senior,162834,1-50,Hybrid,3.5,1
Business Analyst,Airbnb,Senior,107697,1-50,On-site,3.6,57
DevOps Engineer,Microsoft,Entry,73621,1001-5000,On-site,2.2,2
Backend Developer,Startup A,Director,219650,201-1000,On-site,5.0,10
Marketing Manager,Salesforce,Senior,137888,201-1000,On-site,3.6,1
DevOps Engineer,Airbnb,Lead,167067,1001-5000,On-site,5.0,56
Product Manager,Enterprise Corp,Mid,112687,201-1000,Hybrid,4.2,21
Software Engineer,Intel,Director,218704,51-200,On-site,3.5,20
HR Manager,Startup A,Lead,109410,5001+,Hybrid,5.0,9
HR Manager,Meta,Entry,56930,201-1000,Hybrid,4.3,27
UX Designer,Apple,Lead,164101,1001-5000,Hybrid,4.9,1691
Backend Developer,Salesforce,VP,330311,5001+,Hybrid,2.3,1
Frontend Developer,Amazon,Mid,102339,1001-5000,On-site,5.0,6
Business Analyst,Startup B,Entry,51337,201-1000,Remote,3.4,14
Backend Developer,Startup A,Entry,64057,51-200,Remote,4.1,28
Software Engineer,Mid-size Corp,Mid,119180,201-1000,Hybrid,4.1,3
Frontend Developer,Enterprise Corp,Lead,201970,1001-5000,Remote,3.4,69
Machine Learning Engineer,Oracle,Entry,87833,51-200,Hybrid,3.2,160
Software Engineer,IBM,Entry,80195,1-50,Hybrid,5.0,8
Machine Learning Engineer,Oracle,Senior,186149,1-50,On-site,4.2,1
Frontend Developer,Salesforce,Mid,106581,5001+,Hybrid,4.3,94
Data Scientist,Amazon,Senior,184884,1-50,On-site,4.5,3
Machine Learning Engineer,Oracle,Mid,148660,51-200,On-site,3.8,108
Frontend Developer,Intel,Mid,102126,201-1000,Remote,3.2,407
UX Designer,Google,Mid,118856,201-1000,Remote,3.7,174
Backend Developer,Enterprise Corp,Senior,153701,1001-5000,Hybrid,3.3,121
HR Manager,Startup B,Director,149806,1-50,On-site,4.5,42
Data Scientist,Salesforce,Mid,121993,5001+,Remote,2.6,183
Marketing Manager,Meta,Entry,66585,201-1000,Hybrid,4.2,40
Software Engineer,Meta,Mid,110308,201-1000,On-site,4.2,10
HR Manager,Intel,Entry,48841,1001-5000,Hybrid,2.8,2
Machine Learning Engineer,Amazon,Lead,192151,201-1000,Hybrid,3.9,1
Machine Learning Engineer,Mid-size Corp,Mid,128485,201-1000,Hybrid,4.4,40
HR Manager,Microsoft,Senior,111847,201-1000,Remote,4.1,52
HR Manager,Oracle,Mid,72988,201-1000,Remote,2.7,54
Backend Developer,Mid-size Corp,Senior,184048,201-1000,Hybrid,4.7,165
Business Analyst,Google,Mid,93614,1001-5000,Hybrid,4.8,131
Software Engineer,Salesforce,Senior,164182,51-200,Hybrid,4.0,32
Machine Learning Engineer,Apple,Mid,117547,201-1000,Hybrid,4.6,299
Frontend Developer,Uber,Director,211293,1-50,Hybrid,2.3,93
Operations Manager,Airbnb,Lead,143712,201-1000,Hybrid,4.0,181
Software Engineer,Apple,Entry,71720,1001-5000,Hybrid,3.8,21
Marketing Manager,Microsoft,Mid,83264,5001+,Hybrid,4.6,427
HR Manager,Mid-size Corp,Lead,110374,201-1000,Hybrid,4.9,10
Marketing Manager,Netflix,Senior,143910,51-200,Remote,3.6,87
Software Engineer,Intel,Mid,135270,5001+,Hybrid,4.2,170
Data Scientist,Intel,Mid,116134,5001+,Remote,4.5,156
Product Manager,Uber,Mid,140331,5001+,On-site,2.9,12
Operations Manager,Startup A,Mid,102409,201-1000,On-site,3.1,11
Financial Analyst,IBM,Mid,83992,51-200,Hybrid,3.5,16
UX Designer,Startup B,Director,195733,1-50,On-site,4.0,127
DevOps Engineer,Salesforce,Senior,181316,201-1000,Remote,4.6,58
Marketing Manager,Enterprise Corp,Senior,122782,5001+,Remote,4.7,12
Product Manager,Startup A,Entry,83585,1001-5000,Hybrid,4.0,20
Business Analyst,Mid-size Corp,Senior,120746,1-50,Remote,4.0,1
Backend Developer,Enterprise Corp,Director,223939,51-200,On-site,4.0,121
Marketing Manager,Amazon,Mid,86635,51-200,Hybrid,3.7,77
Sales Representative,Intel,Lead,125608,1-50,On-site,3.5,5
Frontend Developer,Netflix,Lead,181891,1001-5000,On-site,3.4,231
Financial Analyst,Meta,Mid,92550,1001-5000,On-site,2.9,104
Financial Analyst,Intel,VP,237438,1001-5000,On-site,4.2,75
Operations Manager,Apple,Entry,60873,201-1000,On-site,3.8,207
Frontend Developer,Google,Senior,152982,1001-5000,On-site,4.0,23
Frontend Developer,Startup B,Senior,176166,201-1000,Hybrid,3.2,577
Frontend Developer,Uber,Entry,63573,1-50,Hybrid,3.7,16
DevOps Engineer,Airbnb,Mid,119141,51-200,On-site,3.7,72
DevOps Engineer,Microsoft,Lead,175350,51-200,Remote,3.9,168
Marketing Manager,Startup B,Mid,108421,51-200,Remote,4.4,36
DevOps Engineer,Netflix,Lead,208628,1-50,On-site,2.9,121
HR Manager,Salesforce,Mid,69794,1001-5000,On-site,4.4,37
Frontend Developer,IBM,Entry,78983,1001-5000,Remote,4.2,363
Machine Learning Engineer,Netflix,Entry,94170,1001-5000,Remote,3.2,54
Product Manager,Startup B,Mid,118643,1001-5000,On-site,4.6,13
Frontend Developer,Intel,Entry,67740,1001-5000,On-site,3.2,3
Data Scientist,Airbnb,Mid,126162,5001+,Remote,4.4,1
Sales Representative,Microsoft,Senior,105479,1001-5000,Remote,3.2,3
Backend Developer,Uber,Senior,160622,201-1000,Hybrid,2.5,89
Machine Learning Engineer,Airbnb,Senior,195307,51-200,Remote,3.3,16
Backend Developer,Enterprise Corp,Mid,108812,201-1000,Remote,3.8,123
Software Engineer,Startup B,Entry,74902,201-1000,Hybrid,3.4,210
Frontend Developer,Oracle,Director,233541,1001-5000,Remote,2.8,20
Product Manager,Apple,Mid,125020,1-50,Hybrid,4.0,51
Frontend Developer,IBM,Senior,152665,201-1000,On-site,3.7,77
HR Manager,Mid-size Corp,Mid,85608,201-1000,On-site,4.3,118
Frontend Developer,Intel,Senior,151276,201-1000,Hybrid,4.3,12
Software Engineer,Apple,Entry,84431,51-200,On-site,4.1,30
Backend Developer,Google,Senior,174493,201-1000,On-site,2.7,71
Product Manager,Enterprise Corp,Mid,147766,201-1000,On-site,3.7,185
Software Engineer,Intel,Senior,162550,201-1000,Remote,4.1,12
Financial Analyst,Airbnb,Senior,102346,201-1000,On-site,3.5,55
Frontend Developer,Airbnb,Senior,146949,1001-5000,Hybrid,3.3,3
Sales Representative,Netflix,Lead,114466,1001-5000,Remote,3.8,37
Operations Manager,Oracle,Senior,110323,201-1000,On-site,2.4,11
Operations Manager,Google,Mid,98669,5001+,Remote,3.1,295
Marketing Manager,Startup B,Mid,99777,5001+,Remote,3.3,1
Product Manager,Apple,Mid,137995,201-1000,Hybrid,3.5,665
DevOps Engineer,Salesforce,Entry,83772,1001-5000,Remote,4.7,16
Business Analyst,Google,Entry,61755,1001-5000,Hybrid,3.4,4
Business Analyst,Startup B,Mid,98522,51-200,Remote,2.6,58
Marketing Manager,Enterprise Corp,Entry,70542,201-1000,Hybrid,3.6,51
Software Engineer,Salesforce,VP,347814,5001+,Hybrid,4.0,2
Business Analyst,Apple,Mid,76233,5001+,Hybrid,4.2,42
Backend Developer,IBM,Mid,116235,51-200,Hybrid,3.3,11
Frontend Developer,Enterprise Corp,Senior,149353,5001+,Hybrid,5.0,11
Marketing Manager,Salesforce,Senior,128696,51-200,Hybrid,4.6,1
Marketing Manager,Enterprise Corp,Mid,88818,1001-5000,On-site,4.8,789
Data Scientist,Salesforce,Senior,191567,1001-5000,Remote,3.7,139
Backend Developer,Meta,Mid,115452,1-50,On-site,4.4,510
Frontend Developer,Startup A,Entry,67998,1-50,On-site,3.8,62
Business Analyst,Oracle,Lead,143210,201-1000,Hybrid,2.7,11
Operations Manager,Oracle,Mid,87582,1001-5000,Hybrid,3.9,70
Machine Learning Engineer,Oracle,Entry,91654,51-200,Remote,3.9,23
Backend Developer,Airbnb,Senior,183331,1001-5000,On-site,3.8,45
Frontend Developer,Intel,Entry,61122,1001-5000,Hybrid,2.7,510
Software Engineer,Startup B,Mid,110818,5001+,Remote,3.2,120
Marketing Manager,Airbnb,Senior,145561,201-1000,Hybrid,4.5,51
Sales Representative,Meta,Mid,72672,1001-5000,Remote,3.0,156
Operations Manager,Uber,Entry,55338,1001-5000,Hybrid,3.7,32
Sales Representative,Microsoft,Senior,102726,51-200,Hybrid,3.4,71
Frontend Developer,Startup A,Senior,176988,1-50,On-site,3.9,59
Product Manager,Mid-size Corp,Director,271449,51-200,On-site,3.9,21
Marketing Manager,Startup B,Senior,129535,201-1000,Hybrid,3.4,10
Frontend Developer,Amazon,Entry,77032,1001-5000,Remote,2.9,111
Software Engineer,Oracle,Entry,69696,51-200,Remote,4.8,108
Backend Developer,Enterprise Corp,Senior,164544,1-50,Hybrid,2.3,22
Machine Learning Engineer,Netflix,Mid,145211,5001+,Hybrid,5.0,436
Financial Analyst,IBM,Mid,83062,1001-5000,Hybrid,3.7,6
Business Analyst,Microsoft,Lead,137083,201-1000,Remote,2.0,45
Frontend Developer,Salesforce,Mid,116226,201-1000,Remote,4.8,34
Operations Manager,Amazon,Mid,89588,5001+,Hybrid,4.1,26
UX Designer,Startup B,Senior,140238,1001-5000,On-site,4.0,207
Backend Developer,Startup B,Senior,148495,201-1000,Remote,3.7,425
Financial Analyst,Enterprise Corp,Entry,59163,1-50,Remote,3.2,196
UX Designer,Apple,Senior,165539,201-1000,Hybrid,3.5,2
HR Manager,Startup B,Entry,45624,1-50,Remote,2.9,5
DevOps Engineer,IBM,Mid,130394,51-200,Remote,2.6,1
UX Designer,Microsoft,Mid,118751,5001+,Hybrid,4.9,264
Marketing Manager,Airbnb,Mid,81779,51-200,Remote,4.0,91
Marketing Manager,IBM,Senior,143580,201-1000,Hybrid,4.2,15
Marketing Manager,Uber,Senior,121714,1001-5000,Remote,4.4,1
Machine Learning Engineer,Amazon,Mid,124480,1001-5000,Hybrid,3.8,9
DevOps Engineer,Mid-size Corp,Senior,173963,201-1000,On-site,2.6,570
UX Designer,Oracle,Mid,112542,201-1000,On-site,3.7,42
Business Analyst,Salesforce,Entry,62118,1001-5000,On-site,2.2,2910
Business Analyst,Amazon,Entry,59479,201-1000,Hybrid,4.6,26
HR Manager,Airbnb,Entry,46991,51-200,Remote,5.0,91
Marketing Manager,Airbnb,VP,251332,201-1000,On-site,4.3,58
Business Analyst,Meta,Senior,140387,1001-5000,Hybrid,4.1,95
Marketing Manager,Enterprise Corp,Entry,52829,51-200,Remote,2.2,6
Business Analyst,IBM,Senior,105505,201-1000,Hybrid,2.3,74
Product Manager,Amazon,Mid,118618,5001+,Hybrid,3.2,37
Sales Representative,Airbnb,Lead,128088,201-1000,Remote,3.7,145
Backend Developer,Enterprise Corp,Entry,81340,1001-5000,On-site,4.6,71
Operations Manager,Uber,Lead,150900,201-1000,Hybrid,3.7,217
HR Manager,Amazon,Lead,135849,1001-5000,On-site,4.1,236
HR Manager,Oracle,Mid,91537,1-50,Hybrid,5.0,17
Product Manager,Oracle,Lead,185159,1001-5000,Hybrid,3.3,3570
UX Designer,Mid-size Corp,Entry,75826,5001+,Remote,4.0,6
Sales Representative,Amazon,VP,194336,51-200,Hybrid,4.2,68
DevOps Engineer,Intel,Lead,205052,201-1000,Hybrid,1.9,29
Operations Manager,Oracle,Senior,130157,51-200,On-site,3.5,8
Product Manager,Startup B,Mid,113646,1001-5000,On-site,3.1,29
HR Manager,IBM,Lead,125610,1-50,Hybrid,3.9,4
DevOps Engineer,Uber,Entry,66803,5001+,Remote,4.2,816
HR Manager,Airbnb,Mid,85918,1001-5000,On-site,4.4,214
Operations Manager,Netflix,VP,214828,5001+,Hybrid,3.7,34
Business Analyst,Apple,Mid,87103,201-1000,Hybrid,3.8,34
Operations Manager,IBM,Mid,77892,51-200,Hybrid,4.1,60
Software Engineer,Enterprise Corp,Mid,104191,1001-5000,Remote,4.1,236
Backend Developer,Google,Director,227538,1-50,Remote,5.0,170
Machine Learning Engineer,Meta,Director,263905,201-1000,Remote,3.3,16
Software Engineer,Microsoft,Lead,202871,51-200,Remote,4.1,8
DevOps Engineer,Oracle,Mid,100969,5001+,Remote,3.9,9
Marketing Manager,Netflix,Mid,82743,5001+,Hybrid,3.3,11
Business Analyst,Mid-size Corp,Entry,61139,201-1000,Remote,3.0,6671
Sales Representative,Intel,Entry,45762,5001+,Remote,3.6,89
Financial Analyst,Enterprise Corp,Senior,135413,1001-5000,On-site,3.7,686
DevOps Engineer,Amazon,Mid,134423,51-200,Remote,3.7,36
Data Scientist,Microsoft,Entry,77775,201-1000,Hybrid,4.4,136
Sales Representative,Microsoft,Director,148058,5001+,On-site,4.3,86
Financial Analyst,Apple,Senior,116212,201-1000,On-site,4.5,193
Data Scientist,Microsoft,Senior,184368,1001-5000,Hybrid,4.5,16
Marketing Manager,IBM,Senior,141362,5001+,On-site,2.2,177
Frontend Developer,Salesforce,Mid,122105,5001+,Hybrid,3.9,3
Data Scientist,Mid-size Corp,Mid,116284,5001+,On-site,4.3,247
Sales Representative,Amazon,Mid,69391,201-1000,Hybrid,4.3,6
Machine Learning Engineer,Startup A,Lead,206810,201-1000,Hybrid,4.7,27
Marketing Manager,Microsoft,Lead,168001,51-200,Remote,4.7,213
Data Scientist,Airbnb,Lead,170868,201-1000,Remote,4.7,29
Backend Developer,IBM,Senior,161944,1001-5000,On-site,3.9,6
Business Analyst,Microsoft,Director,201412,201-1000,On-site,4.1,14
Operations Manager,Startup A,Lead,138302,201-1000,On-site,3.8,1
Product Manager,Enterprise Corp,Senior,177350,201-1000,On-site,2.5,81
Data Scientist,Netflix,Mid,110355,1001-5000,Hybrid,3.9,62
UX Designer,Salesforce,Senior,155898,201-1000,Hybrid,2.8,430
Frontend Developer,IBM,Lead,194007,1-50,Remote,4.0,90
DevOps Engineer,Google,Senior,162347,201-1000,Hybrid,3.3,61
Software Engineer,Meta,Entry,68372,1001-5000,Hybrid,3.4,51
Data Scientist,Apple,Senior,183510,201-1000,Hybrid,3.6,38
Financial Analyst,Uber,Mid,82532,1001-5000,On-site,5.0,1
Operations Manager,Enterprise Corp,Lead,150352,51-200,Hybrid,3.4,65
Software Engineer,Netflix,Mid,103164,51-200,Hybrid,5.0,9
Financial Analyst,Netflix,Senior,102954,201-1000,On-site,3.7,2404
Software Engineer,Startup A,Entry,66940,5001+,Hybrid,4.7,1
Product Manager,Amazon,Mid,145080,5001+,Remote,3.0,4
HR Manager,Google,Senior,112253,1001-5000,On-site,3.9,2
Operations Manager,Google,Mid,88112,1001-5000,Hybrid,2.7,29
Operations Manager,Startup B,Director,199041,51-200,Remote,3.4,26
Sales Representative,Mid-size Corp,Senior,106565,1-50,Hybrid,4.0,168
Software Engineer,IBM,Entry,82464,51-200,Hybrid,5.0,64
Software Engineer,Uber,Mid,108550,51-200,Hybrid,5.0,35
Machine Learning Engineer,Netflix,Mid,146527,201-1000,Remote,3.5,21
Backend Developer,Meta,Entry,72126,51-200,On-site,2.6,114
Sales Representative,Amazon,Entry,42867,1001-5000,Hybrid,4.7,8
DevOps Engineer,Netflix,Lead,197090,201-1000,On-site,4.5,53
Backend Developer,Enterprise Corp,Senior,174776,1001-5000,Remote,3.1,21
UX Designer,Uber,Lead,171844,5001+,Remote,5.0,2
Data Scientist,Intel,Entry,90829,201-1000,On-site,3.9,56
UX Designer,Mid-size Corp,Entry,58284,1001-5000,Remote,2.5,1
Business Analyst,Amazon,VP,218017,51-200,Remote,5.0,74
Machine Learning Engineer,Oracle,Mid,129307,1001-5000,Hybrid,3.3,24
Data Scientist,Amazon,Senior,151535,51-200,Remote,4.4,29
Product Manager,IBM,Entry,92847,51-200,Hybrid,4.2,12
HR Manager,Apple,Mid,82157,51-200,Remote,4.4,114
Sales Representative,Uber,Director,138112,201-1000,Hybrid,4.9,31
Data Scientist,Intel,Director,247561,1001-5000,Hybrid,4.4,49
HR Manager,Amazon,Entry,45258,201-1000,On-site,4.1,5
Operations Manager,Mid-size Corp,Senior,111880,5001+,Remote,4.5,3
HR Manager,IBM,Senior,108838,5001+,On-site,3.8,2
HR Manager,Apple,Mid,86064,201-1000,Hybrid,4.4,6
Operations Manager,Intel,Entry,66879,51-200,Hybrid,2.8,63
Frontend Developer,Enterprise Corp,VP,332809,201-1000,Hybrid,4.5,85
DevOps Engineer,Oracle,Mid,118420,1001-5000,On-site,5.0,1
Frontend Developer,IBM,Senior,134100,1001-5000,Hybrid,4.7,86
Backend Developer,Mid-size Corp,Lead,203404,51-200,Remote,3.8,10
DevOps Engineer,IBM,Mid,128810,1001-5000,On-site,5.0,233
Marketing Manager,Uber,Entry,55465,201-1000,On-site,4.6,1
Marketing Manager,Uber,Mid,89837,51-200,On-site,4.6,40
DevOps Engineer,Oracle,Lead,198199,5001+,Hybrid,3.4,245
Marketing Manager,Enterprise Corp,Entry,65621,1001-5000,Remote,4.1,10
Operations Manager,Oracle,Senior,141978,201-1000,Hybrid,3.8,53
Product Manager,Apple,Entry,73009,51-200,Hybrid,4.0,775
HR Manager,IBM,Lead,118157,5001+,Hybrid,3.6,255
Operations Manager,Google,Director,163473,201-1000,Hybrid,3.1,19
Backend Developer,Airbnb,Entry,76400,1001-5000,Remote,2.3,18
Data Scientist,Apple,Senior,183815,5001+,Remote,3.9,31
Product Manager,Startup A,VP,322613,5001+,Remote,3.9,16
